""	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"ASV9804"	"Bacteria"	"Patescibacteria"	"Gracilibacteria"	"Candidatus Peribacteria"	NA	NA	NA
"ASV9805"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	NA	NA	NA	NA
"ASV9806"	"Bacteria"	"Firmicutes"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	NA	NA
"ASV9807"	"Bacteria"	"Bdellovibrionota"	"Oligoflexia"	"Oligoflexales"	"Oligoflexaceae"	NA	NA
"ASV9808"	"Bacteria"	"Margulisbacteria"	NA	NA	NA	NA	NA
"ASV9809"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Cellvibrionaceae"	NA	NA
"ASV9810"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Tistrellales"	"Geminicoccaceae"	NA	NA
"ASV9811"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"AEGEAN-169 marine group"	NA	NA
"ASV9812"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Steroidobacterales"	"Woeseiaceae"	"Woeseia"	NA
"ASV9813"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Psychromonadaceae"	"Psychromonas"	NA
"ASV9814"	"Bacteria"	"Desulfobacterota"	NA	NA	NA	NA	NA
"ASV9815"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Crocinitomicaceae"	"Crocinitomix"	NA
"ASV9816"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"UBA10353 marine group"	NA	NA	NA
"ASV9817"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Spongiibacteraceae"	"BD1-7 clade"	NA
"ASV9819"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Granulosicoccales"	"Granulosicoccaceae"	"Granulosicoccus"	NA
"ASV9820"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"ASV9821"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Cellvibrionaceae"	NA	NA
"ASV9822"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Nitrincolaceae"	NA	NA
"ASV9823"	"Bacteria"	"Margulisbacteria"	NA	NA	NA	NA	NA
"ASV9824"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Amoebophilaceae"	NA	NA
"ASV9826"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Oceanospirillaceae"	"Oceanospirillum"	NA
"ASV9827"	"Bacteria"	"Verrucomicrobiota"	"Kiritimatiellae"	"WCHB1-41"	NA	NA	NA
"ASV9828"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Defluviicoccales"	NA	NA	NA
"ASV9829"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"SM2D12"	NA	NA
"ASV9830"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Coxiellales"	"Coxiellaceae"	"Coxiella"	NA
"ASV9831"	"Bacteria"	"Bdellovibrionota"	"Oligoflexia"	"Oligoflexales"	"Oligoflexaceae"	NA	NA
"ASV9832"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	NA	NA	NA	NA
"ASV9833"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Rubritaleaceae"	"Rubritalea"	NA
"ASV9835"	"Bacteria"	"Margulisbacteria"	NA	NA	NA	NA	NA
"ASV9837"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"PeM15"	NA	NA	NA
"ASV9841"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	"Blastopirellula"	NA
"ASV9842"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	NA	NA	NA	NA
